Announcer,Samantha Spade in The Steve Starr Caper,Zack Murphy
Samantha Spade,Samantha Spade in The Steve Starr Caper,Caroline Debrota
Eddie,Samantha Spade in The Steve Starr Caper,Emile Lewis
"Jay
Polhouse",Samantha Spade in The Steve Starr Caper,Hilary Short
Ruby,Samantha Spade in The Steve Starr Caper,Kristina Spinney
Seller,Samantha Spade in The Steve Starr Caper,Jack Wickwire
Michelle,Samantha Spade in The Steve Starr Caper,Erika Kuttner
Dundee,Samantha Spade in The Steve Starr Caper,Kevin Kordis
Steve Starr,Samantha Spade in The Steve Starr Caper,Jason Smith
,,
Nick,After the Thin Man,Alex Lafreniere
Nora,After the Thin Man,Naomi Ibasitis
Announcer,After the Thin Man,JB Brown
Selma,After the Thin Man,Mira Tinez
Aunt Katherine,After the Thin Man,Sue Downing
David,After the Thin Man,Shawyoun Shaidani
Dancer,After the Thin Man,Mikah Connolly
Polly,After the Thin Man,Jess Conger-Henry
Malloy,After the Thin Man,Maeve Mccluskey
Ensemble,After the Thin Man,Kim Dauber
Ensemble,After the Thin Man,Joev Dubach
Ensemble,After the Thin Man,Paul Kuttner
Ensemble,After the Thin Man,Sam Marchiony
Ensemble,After the Thin Man,Reggie Joseph
Ensemble,After the Thin Man,Marielle Boudreau
,,
Foley,,Simone Agha
Foley,,Terry Bernard
Foley,,Racer Soares
Foley,,Daniel Lemr
,,
Producer,Crew,Jeremy Holstein
Graphic Designer,Crew,Jeremy Holstein
Stage Manager,Crew,Meg Wickham
Assistant Stage Manager,Crew,Coraline Holstein
Rehearsal Assistant,Crew,Nick Henry
Sound Engineer,Crew,Jay Sekora
,,
,,
Foley Coordinator,Crew,Jaimie Carlson
