Timestamp,Full Name,Name Pronunciation,Show(s),Role,Bio
4/7/2025 18:19:44,Jessica Conger-Henry ,Jessica ConGER-Henry,Captain Bellamy,Mable Mayhem,Legend has it that Jess haunts the moors of Salem. She gives out stickers with her cats in them to the deserving. This is her corporeal form's 11th year performing with PMRP. 
4/7/2025 18:53:56,Stephen C. Nedell,STEE-vin see ne-DELL,Captain Bellamy,Announcer,"Stephen returns for his second show with PMRP for Dangerous Adventures. Previously he was part of the ensemble for last summer's 13th Mystery: The Black Pearl. Previously he has appeared on the Travel Channel's paranormal themed reality show The Dead Files, Malden Community Theater's Summer 2023 production of 35MM: A Musical Exhibition and the Theatre Company of Saugus's production of Puffs where he played more than a dozen different roles. He'd also like to thank his wife and son for their support. His two cats couldn't care less."
4/7/2025 18:53:56,Stephen C. Nedell,STEE-vin see ne-DELL,Townies & Dragons,"Millhouse, Staff 1, Ooze Monster        ",
4/7/2025 19:36:23,Sue Downing,Sue Downing,Townies & Dragons,Understudy Omar,"Sue Downing (she/they, understudy Omar) has previously been a voice actor in three different Halloween shows with PMRP. Sue also directed “Family Business” by Tegan Garon on behalf of PMRP sponsorship in the 2023 Boston Theater Marathon XXV. "
4/7/2025 19:57:32,Erika Claire Kuttner,Please read all three names,Townies & Dragons,Dawn,Erika Claire is so excited to be a part of Townies and Dragons! She would like to thank Paul and Erikson for letting her hang out with them. 
4/7/2025 20:08:22,Jaimie Carlson,JAY-mee CARL-son,Dangerous Game,Assistant Director; adapted the play ,"Jaimie Carlson adapted and assistant directed The Most Dangerous Game. When not brutally dispatching a cantaloupe as a Foley artist for PMRP, Jaimie is probably wrangling robots with ruthless efficiency in her job as an engineer, or testing her skills in the least dangerous game (quizbowl). Jaimie can be tracked down to her habitat of downtown Boston, where she stalks her natural prey of overpriced coffee and underpriced books. She thanks all the PMRPers for showing her the ropes behind-the-scenes, and her family for coming out to the show!"
4/7/2025 23:05:30,Francine Davis,FRAN-cine DAY-vis,Captain Bellamy,Director,"Francine Davis (Director, ""The Bonnie Tales of Captain Bellamy"") is a Boston-based actor/director who has been involved in over 150 productions, working with such companies as King Richard's Faire; Olde Essex Stage Company; Yorick Ensemble; and Boston Shakespeare Project Collective. Her directing credits include: ""Romeo and Juliet;"" ""Much Ado About Nothing;"" and ""The Women of Lockerbie."" Favorite acting roles include: Kate in ""The Taming of the Shrew;"" ""Cassius in ""Julius Caesar;"" and Hannah in ""The Spitfire Grill."" Francine is happy to be working with PMRP for the third time. Last spring, she made her Foley debut (what fun!) with PRMP, and for the group's Halloween show, she directed ""The Inexperienced Ghost."""
4/7/2025 23:12:57,Jack Wickwire,jak whtk-whyer,Townies & Dragons,Foley,"Jack Wickwire (Ivan—Dangerous Game, Foley—Townies and Dragons) has acted and designed for many MetroWest community theaters. His acting credits include: Mortimer in ""Arsenic and Old Lace,"" (Groton Theater); Paul in ""My Three Angels"" (Vokes Theater); Inspector Hound in ""The Real Inspector Hound,"" (Belmont Theater); Hamlet in ""Rosencrantz and Guildenstern Are Dead"" (Concord Players); Prince John in ""Lion in Winter"" (Groton Theater); Makeup Design for ""The Inexperienced Ghost"" (PMRP), Picasso at the Lapin Agile, Lend Me a Tenor (TCAN), Prelude to a Kiss, Waiting in the Wings, (for Belmont Belmont Dramatic Club); ""Is He Dead"", ""Sunday in the Park With George"" (Vokes Theater); Batboy, The Musical"" (Arlington Friends of the Drama)."
4/7/2025 23:12:57,Jack Wickwire,jak whtk-whyer,Dangerous Game,Ivan,"Jack Wickwire (Ivan—Dangerous Game, Foley—Townies and Dragons) has acted and designed for many MetroWest community theaters. His acting credits include: Mortimer in ""Arsenic and Old Lace,"" (Groton Theater); Paul in ""My Three Angels"" (Vokes Theater); Inspector Hound in ""The Real Inspector Hound,"" (Belmont Theater); Hamlet in ""Rosencrantz and Guildenstern Are Dead"" (Concord Players); Prince John in ""Lion in Winter"" (Groton Theater); Makeup Design for ""The Inexperienced Ghost"" (PMRP), Picasso at the Lapin Agile, Lend Me a Tenor (TCAN), Prelude to a Kiss, Waiting in the Wings, (for Belmont Belmont Dramatic Club); ""Is He Dead"", ""Sunday in the Park With George"" (Vokes Theater); Batboy, The Musical"" (Arlington Friends of the Drama)."
4/8/2025 11:50:53,Kristina Spinney,Kris-Tee-Nuh Spin-Eee,Dangerous Game,Rainsford,"Kristina Spinney is an actor turned accountant in the live music industry who is thrilled to be making her PMRP debut. She holds a BFA in acting from Salem State University, has produced film festivals and most recently, appeared on sci-fi, horror, and film panels at Arisia this past winter. Some past credits include Maria in West Side Story, Lilli Vanessi in Kiss Me, Kate, Antigone in Antigone and Penelope Pennywise in Urinetown. Kristina enjoys horror, sci-fi, and fantasy of all types. You can typically find Kristina at a book club, cult cinema night, or dancing at a goth club. LLAP!"
